ZNF624	721.3
ZSCAN30	722
ZNF483	722
ZKSCAN3	722.3
PBX2	723.3
PRDM9	726
HINFP	727.3
ZBTB7A	727.6
FOXJ2	728
AHDC1	728
ZNF32	728
HOXA7	729
ZBTB46	729.3
DMRT3	730
CREB3L3	731
ZNF843	731.3
HES3	732
MEF2D	732.7
GATA5	733.3
RLF	734
ZNF280D	734
IRF9	734.5
HES5	734.7
E2F6	735
ZSCAN21	735.7
CBX2	736.2
RFX6	736.3
CRX	736.8
IRF8	736.8
IRX4	738.3
TERF1	740.3
MNX1	740.5
ZNF24	740.5
ZNF454	742
ZNF569	742.3
VAX2	743.7
ZNF793	744
HOXC10	745.7
ZNF627	745.7
CEBPE	746
ZNF788P	748
ZNF565	748
POGK	748
ZNF275	748.7
AKNA	750.3
ZNF148	750.7
SIX4	751.3
ZNF586	752.3
THAP1	752.6
ZNF491	753.7
POU5F1B	754.5
ZNF358	755
SCMH1	755.5
ZNF519	756
LIN28B	756.7
YY1	758.7
FOXK2	759
ONECUT1	759.3
LHX4	759.3
LBX2	761
DRGX	763.3
TCF23	765
ZNF540	765.7
ZBTB2	766
HOXD1	766.3
ZNF658	768
CAMTA2	768
TET3	769.3
ZSCAN10	769.7
ATOH7	771
GSX1	771.3
OLIG3	771.3
HOXA10	771.7
RAX	771.7
CEBPG	772.8
E2F3	773
ZNF654	773.3
SP6	773.3
YY2	773.7
PHOX2A	775.3
SP8	776
ZNF606	776
NHLH1	776
ZNF774	776.3
ZNF197	778.3
ZNF600	778.3
ZNF101	779
TCF24	779.7
ZFAT	780
ZNF730	780
ZNF343	780.7
PAX2	782.7
ZNF583	783.7
ZBTB7C	784
ZNF507	784
FOXD4L4	784.5
ZNF443	784.7
ZNF98	785.3
YBX3	785.5
ZNF804B	786.7
ZZZ3	787
ZNF502	788.3
NEUROG1	790.3
FOXD4L6	790.5
ZNF317	793.3
ZNF772	793.7
DUXA	795.3
ZFP69B	796
ZNF548	796.3
RFX5	798
ZNF710	798.3
ZNF134	800
TCF15	800
NFXL1	803.3
HOXB6	803.7
TERF2	807.3
ZNF319	807.3
FOXD4	807.7
ZNF805	808.7
ZBTB20	809.3
PRDM4	810
ZNF135	810
ZNF154	811.3
ZNF143	811.4
ZNF341	811.7
ZNF486	812
TFDP1	812.8
SOHLH2	816.3
ZNF264	816.7
ZNF558	817.3
IKZF5	817.3
MYOG	817.5
FOXJ3	818
MESP1	818
TFDP2	818.7
SP100	819.3
ZKSCAN8	819.5
PITX3	819.7
MNT	821
ZBTB11	821
ZNF582	821.3
ZNF644	821.8
ZNF584	822.3
ZNF474	822.7
LCOR	823
CASZ1	823.7
SP5	823.7
ZSCAN26	824
ZFHX2	824
ZSCAN9	824.5
ZBTB26	825.3
HNF1A	825.3
ZBTB37	827
NEUROG3	827.7
